country,city,date,co,no2,o3,pm10,pm25,so2,year,month,day_of_week,quarter,season,covid_period,aqi_pm25,aqi_bucket
Cambodia,Phnom Penh,2025-05-03,,,,,21.0,,2025,5,Saturday,2,Transition (Apr-May),Post-COVID,69.71673819742489,Moderate
Cambodia,Phnom Penh,2025-06-06,,,,,19.2,,2025,6,Friday,2,Wet (Jun-Sep),Post-COVID,65.93133047210301,Moderate
Cambodia,Phnom Penh,2025-08-14,,,,,21.1,,2025,8,Thursday,3,Wet (Jun-Sep),Post-COVID,69.92703862660944,Moderate
Cambodia,Phnom Penh,2025-09-11,,,,,21.0,,2025,9,Thursday,3,Wet (Jun-Sep),Post-COVID,69.71673819742489,Moderate
Cambodia,Phnom Penh,2025-09-12,,,,,25.1,,2025,9,Friday,3,Wet (Jun-Sep),Post-COVID,78.33905579399142,Moderate
Cambodia,Phnom Penh,2025-09-15,,,,,10.1,,2025,9,Monday,3,Wet (Jun-Sep),Post-COVID,42.083333333333336,Good
Cambodia,Phnom Penh,2025-09-16,,,,,22.5,,2025,9,Tuesday,3,Wet (Jun-Sep),Post-COVID,72.87124463519314,Moderate
Cambodia,Phnom Penh,2025-09-17,,,,,23.9,,2025,9,Wednesday,3,Wet (Jun-Sep),Post-COVID,75.81545064377683,Moderate
Cambodia,Phnom Penh,2025-09-18,,,,,5.15,,2025,9,Thursday,3,Wet (Jun-Sep),Post-COVID,21.458333333333336,Good
Cambodia,Phnom Penh,2025-09-19,,,,,13.8,,2025,9,Friday,3,Wet (Jun-Sep),Post-COVID,54.57510729613734,Moderate
Cambodia,Phnom Penh,2025-09-20,,,,,6.68,,2025,9,Saturday,3,Wet (Jun-Sep),Post-COVID,27.833333333333336,Good
Cambodia,Phnom Penh,2025-09-21,,,,,9.57,,2025,9,Sunday,3,Wet (Jun-Sep),Post-COVID,39.87500000000001,Good
Cambodia,Phnom Penh,2025-09-22,,,,,6.66,,2025,9,Monday,3,Wet (Jun-Sep),Post-COVID,27.750000000000004,Good
Cambodia,Phnom Penh,2025-09-23,,,,,4.55,,2025,9,Tuesday,3,Wet (Jun-Sep),Post-COVID,18.958333333333336,Good
Cambodia,Phnom Penh,2025-09-24,,,,,3.52,,2025,9,Wednesday,3,Wet (Jun-Sep),Post-COVID,14.666666666666668,Good
Cambodia,Phnom Penh,2025-09-25,,,,,3.62,,2025,9,Thursday,3,Wet (Jun-Sep),Post-COVID,15.083333333333336,Good
